muni,numVacantParcel,available_land_sqft,TransitScore,mean_income,percentage_of_shi_units
Amesbury,2,10385.93219,36,70063,10.48
Athol,4,2662.801293,25.875,55600.5,6.02
Avon,3,120617.5058,3,69868,3.97
Barnstable,20,894452.0958,10.725,nan,7.34
Barre,2,390419.2823,9.5,68139,3.84
Becket,1,542005.5545,3.5,75852,0
Bellingham,2,227752.9941,3,101115,8.69
Brockton,30,289129.9825,36.81666667,47832.06667,13.01
Burlington,2,605860.7386,53,97482,13.33
Cambridge,3,12011.54186,61.16666667,74038.33333,14.8
Chelsea,1,10215.17178,45,47366,19.28
Chicopee,5,205555.8877,29.8,43813.6,10.37
Dedham,13,784891.8477,54.57692308,79380.66667,11.06
Dennis,3,32468.98252,25.5,nan,5.25
Dracut,2,794901.5196,33,71235,5.17
Dudley,1,53704.65496,22.5,77480,2.39
East Bridgewater,1,328043.9157,6,87328,3.59
Fairhaven,3,20467.08347,61.5,55731.33333,6.94
Fitchburg,3,28373.62789,56.33333333,18234,8.71
Gardner,3,454626.2579,35.33333333,45636.33333,14.96
Gloucester,5,55790.93106,45.9,43382,7.37
Groton,2,691448.9731,8.25,117438,5.62
Hadley,1,41955.51724,37,64276,12
Halifax,3,480926.1724,7.833333333,92111,0.94
Hampden,1,14814.83061,20.5,85943,3.09
Haverhill,1,16093.87292,36.5,43140,10
Holbrook,3,17036.98933,59,70288,10.32
Holden,1,29890.3235,21.5,91118,6.14
Holliston,3,346731.5015,2.166666667,147396,4.77
Lawrence,3,61982.56836,43.5,34165,14.97
Leominster,5,48846.10877,40.9,46133.4,8.18
Lowell,96,899240.1843,22.5,54760.89583,12.5
Ludlow,2,161906.5953,16.75,80714,3.51
Lynn,2,8166.691395,43,32895.5,12.42
Medford,3,31200.53567,32.16666667,84712.66667,6.98
Methuen,1,33612.91166,56.5,67002,9.21
Middleton,1,222807.4369,15.5,102604,5.01
Montague,2,58477.60219,8.5,nan,9.58
Nantucket,8,1139706.018,34.25,98522,2.7
Natick,5,56398.14069,32.3,116329.8,10.51
New Bedford,31,807799.5631,37.66129032,53392.35484,11.93
New Salem,2,34725.40172,5,nan,0
Newton,1,17936.64341,49.5,116094,7.47
North Attleborough,5,186499.5498,33.9,99852.6,2.54
North Brookfield,1,30375.24253,23.5,73599,7.05
Oak Bluffs,1,10126.4004,30.5,82045,6.83
Orleans,1,63407.09541,12.5,nan,9.24
Peabody,1,394715.2804,21,83461,9.27
Pittsfield,5,123049.0683,38.3,38227.8,9.21
Rehoboth,1,249359.5814,10,97464,0.63
Shelburne,1,142666.3596,0.5,nan,5.71
Somerville,7,51337.5356,46.07142857,77539,9.7
Spencer,2,17880.98928,48,56346,5.2
Swampscott,1,47138.87951,36.5,84107,4.31
Taunton,3,370337.514,56.33333333,47233,6.41
Walpole,4,47976.15812,22.625,131107,7.08
Watertown,7,24721.4652,92.85714286,84107,7.1
Wellfleet,5,541486.4821,5.8,nan,1.94
Westfield,3,29969.83557,59,45022,7.24
Wilmington,5,113687.0238,4.7,120984.6667,10.26
Worcester,1,540.9783854,33.5,41089,13.39
