,route_id,level_0,level_1,total,impacted_pop
0,16,12,18,30,320757
1,32,22,7,29,330329
2,36,22,7,29,332717
3,34,22,7,29,326936
4,38,10,7,17,298690
5,22,26,22,48,401932
6,29,21,15,36,231432
7,28,32,24,56,262421
8,66,15,22,37,553828
9,10,11,15,26,541714
10,45,33,31,64,286067
11,23,23,21,44,241707
12,14,28,20,48,306267
13,31,2,2,4,57204
14,21,2,7,9,266976
15,216,9,9,18,40567
16,214,9,9,18,33619
17,47,11,16,27,448377
18,9,2,12,14,564249
19,43,4,1,5,323581
20,19,25,38,63,557813
21,8,14,17,31,460538
22,15,14,12,26,318172
23,708,3,5,8,113574
24,747,2,4,6,219322
25,44,26,20,46,230343
26,57,1,4,5,379719
27,41,8,18,26,266335
28,749,1,2,3,167113
29,751,1,2,3,158437
30,171,2,2,4,44229
31,170,3,2,5,276636
32,1,3,6,9,388645
33,42,1,16,17,138791
34,120,3,9,12,256086
35,439,8,21,29,38260
36,442,4,34,38,113203
37,449,2,20,22,109323
38,448,2,20,22,112404
39,441,3,25,28,73688
40,435,3,17,20,95280
41,429,3,16,19,99221
42,455,2,19,21,196487
43,456,1,14,15,115385
44,000,9,24,33,238137
45,426,1,11,12,102046
46,436,2,15,17,88422
47,459,2,17,19,174966
48,450,2,4,6,137536
49,33,0,2,2,119994
50,40,0,3,3,105476
51,39,0,12,12,345963
52,35,0,6,6,294692
53,37,0,5,5,249367
54,713,0,15,15,52689
55,712,0,15,15,52472
56,5,0,2,2,202710
57,55,0,4,4,289839
58,742,0,5,5,24694
59,4,0,2,2,215847
60,119,0,11,11,74367
