,district,level_0,level_1,total,rep
2,7th Suffolk,38,63,101,Chynah Tyler (D)
1,11th Suffolk,35,30,65,Elizabeth A. Malia (D)
7,11th Essex,11,37,48,Peter L. Capano (D)
8,5th Suffolk,3,35,38,Liz Miranda (D)
0,6th Suffolk,12,22,34,Russell E. Holmes (D)
13,10th Essex,0,24,24,Daniel H. Cahill (D)
3,1st Suffolk,3,19,22,Adrian C. Madaro (D)
10,2nd Norfolk,9,9,18,Tackey Chan (D)
12,19th Suffolk,0,18,18,Robert A. DeLeo (D)
9,9th Suffolk,2,13,15,Jon Santiago (D)
6,4th Suffolk,2,11,13,David Biele (D)
11,15th Suffolk,0,11,11,Nika Elugardo (D)
15,8th Essex,0,9,9,Lori A. Ehrlich (D)
5,16th Suffolk,2,3,5,RoseLee Vincent (D)
14,14th Suffolk,0,4,4,Angelo M. Scaccia (D)
4,13th Suffolk,2,0,2,Daniel J. Hunt (D)
